payment_id,payer_id,payment_date,amount,currency,payment_type,reference
PAY001,ACC300,2024-04-01,4500,ZAR,payment,INV-2024-001
PAY002,ACC301,2024-04-02,1200,USD,debit,
PAY003,ACC302,2024-04-03,-300,EUR,credit,REF-003
PAY004,,2024-04-04,6700,GBP,transfer,REF-004
PAY005,ACC304,bad-date,900,ZAR,payment,REF-005
PAY001,ACC305,2024-04-06,2200,ZAR,credit,REF-006
PAY006,ACC306,2024-04-07,5500,ZAR,payment,REF-007
PAY007,ACC307,2024-04-08,780,ABC,debit,REF-008
PAY008,ACC308,2024-04-09,3400,USD,payment,REF-009
PAY009,ACC309,2024-04-10,9100,ZAR,payment,REF-010
PAY010,ACC310,2024-04-11,6600,EUR,transfer,REF-011
