id,account_id,date,amount,currency,type,description,amount_clean,date_clean,currency_clean,type_clean,account_id_clean,_status,_error_summary
TXN001,ACC100,2024-01-15,1500.00,ZAR,debit,Supplier payment,1500.0,2024-01-15,ZAR,debit,ACC100,valid,
TXN002,ACC101,2024/01/16,2200,usd,credit,Client invoice,2200.0,,USD,credit,ACC101,rejected,Invalid or unparseable date
TXN003,,2024-01-17,-500,EUR,debit,Refund,-500.0,2024-01-17,EUR,debit,,rejected,Amount must be positive; Missing account ID
TXN004,ACC102,not-a-date,800,GBP,transfer,Internal move,800.0,,GBP,transfer,ACC102,rejected,Invalid or unparseable date
TXN005,ACC100,2024-01-18,3400.50,ZAR,debit,,3400.5,2024-01-18,ZAR,debit,ACC100,valid,
TXN006,ACC103,2024-01-19,620,ZAR,payment,Rent,620.0,2024-01-19,ZAR,payment,ACC103,valid,
TXN007,ACC103,2024-01-20,0,ZAR,debit,Zero amount test,0.0,2024-01-20,ZAR,debit,ACC103,rejected,Amount must be positive
TXN001,ACC104,2024-01-21,900,ZAR,credit,Duplicate ID test,900.0,2024-01-21,ZAR,credit,ACC104,rejected,Duplicate transaction ID
TXN008,ACC105,2024-02-01,14200,EUR,payment,Consulting fee,14200.0,2024-02-01,EUR,payment,ACC105,valid,
TXN009,ACC106,2024-02-03,5600,ZAR,credit,Sales revenue,5600.0,2024-02-03,ZAR,credit,ACC106,valid,
TXN010,ACC107,2024-02-04,320.75,GBP,transfer,Wire transfer,320.75,2024-02-04,GBP,transfer,ACC107,valid,
TXN011,ACC108,2024-02-05,88000,ZAR,payment,Equipment lease,88000.0,2024-02-05,ZAR,payment,ACC108,valid,
TXN012,ACC109,2024-02-06,1100,XYZ,debit,Unknown currency test,1100.0,2024-02-06,XYZ,debit,ACC109,rejected,Invalid currency code 'XYZ'
TXN013,ACC110,2024-02-07,4500,ZAR,payment,Office supplies,4500.0,2024-02-07,ZAR,payment,ACC110,valid,
TXN014,ACC111,2024-02-08,2750,USD,credit,Export revenue,2750.0,2024-02-08,USD,credit,ACC111,valid,
